,name,id
406,Digital Domain,31825
407,Taleswapper,31826
408,Cheyenne Enterprises,890
409,The Saul Zaentz Company,5237
410,80 Days Productions,53413
411,Spanknyce Films,53414
412,Fitzwilliam Productions,53416
413,Laurence Mark Productions,415
414,Mediastream Vierte Film GmbH & Co. Vermarktungs KG,19354
415,Canlaws Productions,19355
416,Dune Films,19477
417,BK,19478
418,KOH,19479
419,Reino del Cielo,19480
420,Inside Track 3,19482
421,Calle Cruzada,19483
422,Global Medien KG,5555
423,Franklin/Waterman Productions,58331
424,International Traders,6408
425,Mill Film,21904
426,C & L,21905
427,Dawliz,21906
428,Blue Tulip Productions,766
429,Ronald Shusett/Gary Goldman,26265
430,Digital Image Associates,76068
431,T2 Productions,61409
432,Tribeca Productions,11391
433,Misher Films,11581
434,Film Rites,8083
435,Escape Artists,1423
436,Everyman Pictures,2242
437,Dreamworks Pictures,7852
438,Gary Sanchez Productions,4740
439,Kopelson Entertainment,824
440,The Weinstein Company,308
441,Nu Image Films,925
442,Millennium Films,10254
443,Wild Things Productions,5289
444,Peninsula Films,682
445,StudioCanal,694
446,Sony Pictures Releasing,3045
447,Sony Pictures Worldwide Acquisitions (SPWA),14577
448,Italian Tax Credit,21212
449,Birnbaum/Barber,23731
450,Cineroma SRL,23732
451,French Tax Credit,23733
452,Beacon Communications,919
453,Bedford Falls Productions,348
454,Lonely Film Productions GmbH & Co. KG.,430
455,Spring Creek Productions,705
456,Liberty Pictures,20938
457,EMJAG Productions,14654
458,Red Granite Pictures,19177
459,Sikelia Productions,23243
460,Polygram Filmed Entertainment,31080
461,Big Bug Pictures,23434
462,X-Filme Creative Pool,1972
463,Ascension Pictures,7829
464,ARD Degeto Film,10947
465,Cloud Atlas Productions,11080
466,Five Drops,11082
467,Media Asia Group,11083
468,Dreams of Dragon Picture,19621
469,Animal Logic,8089
470,DiNovi Pictures,813
471,Frantic Films,52945
472,Maple Shade Films,52946
473,Catwoman Films,52947
474,Mosaic Media Group,748
475,Sid & Marty Krofft Pictures,11916
476,Davis-Films,342
477,LionsGate,7571
478,Ex3 Productions,28384
479,Fipex Holding,40822
480,Alcon Entertainment,1088
481,DMG Entertainment,10289
482,Ehman Productions,70993
483,Pathé Distribution,3012
484,K. JAM Media,17888
485,Surf Film,34401
486,"Enelmar Productions, A.I.E.",63571
487,Castle Rock Entertainment,97
488,Working Title Films,10163
489,Jean Doumanian Productions,16280
490,Sweetland Films,21716
491,Magnolia Films,65514
492,Jasmine Productions Inc.,65515
493,Imhotep Productions,20242
494,Alberto Grimaldi Productions,7381
495,Beijing New Picture Film Co. Ltd.,724
496,EDKO Film,12205
497,New Picture Company,49512
498,DreamWorks Pictures,7293
499,Revolution Studios,497
500,Location Gourmet,36431
501,Gaumont,9
502,Home Box Office (HBO),3268
503,HBO Films,7429
504,Allison Shearmur Productions,47706
505,Key Creatives,2300
506,Film4,9349
507,Goldcrest Pictures,11843
508,New Zealand Large Budget Screen Production Grant,12248
509,Outlaw Sinema,13444
510,Pendle Mountain Productions,40112
511,Toho-Towa,657
512,British Broadcasting Corporation (BBC),3324
513,Marubeni,4650
514,Eidos Interactive,19105
515,Straight Up Films,13403
516,Giant Pictures,34396
517,Origo Film Group,34397
518,Le Studio Canal+,183
519,TCF Vancouver Productions,28431
520,Firm Films,1838
521,Prospect Park,19776
522,Millbrook Farm Productions,19777
523,Red Hour Films,12178
524,Media Asia Films,5552
525,Internationale Filmproduktion Stella-del-Sud Second,12379
526,Scott Rudin Productions,258
527,Yellow Bird,33817
528,Ground Control,47479
529,Cinergi Pictures Entertainment,1504
530,Internationale Filmproduktion Blackbird Dritte,19855
531,Sean Daniel Company,19857
532,LightWorkers Media,23920
533,Bagdasarian Productions,10930
534,United Artists,60
535,Achte Babelsberg Film,6100
